,querySample,expectedElectivesInOrder,expectedElectivesInOrderSumWordCount,queryType
0,"analytics, library, retrieval, boolean, library","['50.007 Machine Learning', '50.045 Information Retrieval', '50.006 User Interface Design and Implementation', '50.043 Database Systems / Database and Big Data Systems (for class 2021)', '50.039 Theory and Practice of Deep Learning', '50.038 Computational Data Science', '50.021 Artificial Intelligence', '50.046 Cloud Computing and Internet of Things', '40.319 Statistical and Machine Learning', '40.320 Airport Systems Planning and Design']","[3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",1
1,"nash, heuristic, financial, vector, answer","['50.045 Information Retrieval', '40.240 Investment Science', '40.316 Game Theory', '40.317 Financial Systems Design', '50.006 User Interface Design and Implementation', '50.007 Machine Learning', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.318 Supply Chain Digitalisation and Design']","[2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
2,"neural, analytics, hadoop, relevance, autocad","['50.043 Database Systems / Database and Big Data Systems (for class 2021)', '50.045 Information Retrieval', '40.321 Airport Systems Modelling and Simulation', '50.006 User Interface Design and Implementation', '50.007 Machine Learning', '50.039 Theory and Practice of Deep Learning', '50.038 Computational Data Science', '50.021 Artificial Intelligence', '40.319 Statistical and Machine Learning', '40.320 Airport Systems Planning and Design']","[2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1
3,"answer, visual, chain, handle, copywriting","['50.006 User Interface Design and Implementation', '50.043 Database Systems / Database and Big Data Systems (for class 2021)', '40.260 Supply Chain Management', '40.318 Supply Chain Digitalisation and Design', '50.045 Information Retrieval', '50.046 Cloud Computing and Internet of Things', '40.242 Derivative Pricing and Risk Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.316 Game Theory', '40.317 Financial Systems Design']","[2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
4,"retrieval, wireframing, model, infrastructure, analysis","['50.045 Information Retrieval', '50.006 User Interface Design and Implementation', '40.316 Game Theory', '40.320 Airport Systems Planning and Design', '40.321 Airport Systems Modelling and Simulation', '50.033 Foundations of Game Design and Development', '40.319 Statistical and Machine Learning', '50.046 Cloud Computing and Internet of Things', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management']","[3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0]",1
5,"business, airport, prototyping, track, statistic","['40.319 Statistical and Machine Learning', '50.006 User Interface Design and Implementation', '40.316 Game Theory', '40.320 Airport Systems Planning and Design', '50.021 Artificial Intelligence', '50.045 Information Retrieval', '40.240 Investment Science', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.318 Supply Chain Digitalisation and Design']","[5.0, 3.0, 3.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0]",1
6,"life, understand, design, service, focus","['50.006 User Interface Design and Implementation', '40.320 Airport Systems Planning and Design', '40.240 Investment Science', '40.242 Derivative Pricing and Risk Management', '40.316 Game Theory', '40.317 Financial Systems Design', '40.321 Airport Systems Modelling and Simulation', '50.033 Foundations of Game Design and Development', '40.323 Equity Valuation', '50.045 Information Retrieval']","[2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1
7,"probability, usability, heuristic, urban, neural","['50.006 User Interface Design and Implementation', '40.316 Game Theory', '40.320 Airport Systems Planning and Design', '50.045 Information Retrieval', '40.319 Statistical and Machine Learning', '50.046 Cloud Computing and Internet of Things', '50.007 Machine Learning', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic']","[4.0, 2.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
8,"word, skill, balance, xd, analysis","['50.006 User Interface Design and Implementation', '40.321 Airport Systems Modelling and Simulation', '50.033 Foundations of Game Design and Development', '40.316 Game Theory', '50.045 Information Retrieval', '50.046 Cloud Computing and Internet of Things', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.317 Financial Systems Design']","[2.0, 2.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
9,"ec, test, mining, copywriting, vector","['50.006 User Interface Design and Implementation', '50.033 Foundations of Game Design and Development', '50.045 Information Retrieval', '50.038 Computational Data Science', '50.043 Database Systems / Database and Big Data Systems (for class 2021)', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.316 Game Theory', '40.317 Financial Systems Design', '40.324 Fundamentals of Investing']","[2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
